ESTACION;MAGNITUD;ANO;MES;DIA;VALOR;FECHA
4;6;2018-;11;-19;0,4;2018-11-19
4;6;2018-;11;-20;0,3;2018-11-20
4;6;2018-;11;-21;0,4;2018-11-21
4;6;2018-;11;-22;0,5;2018-11-22
4;6;2018-;11;-23;0,4;2018-11-23
4;6;2018-;11;-24;0,6;2018-11-24
4;6;2018-;11;-25;0,3;2018-11-25
4;6;2018-;11;-26;0,3;2018-11-26
4;6;2018-;11;-27;0,6;2018-11-27
4;6;2018-;11;-28;0,9;2018-11-28
4;6;2018-;11;-29;0,8;2018-11-29
4;6;2018-;11;-30;0,6;2018-11-30
4;6;2018-;12;-01;0,6;2018-12-01
4;6;2018-;12;-02;0,6;2018-12-02
4;6;2018-;12;-03;0,6;2018-12-03
4;6;2018-;12;-04;1,0;2018-12-04
4;6;2018-;12;-05;1,3;2018-12-05
4;6;2018-;12;-06;0,8;2018-12-06
4;6;2018-;12;-07;0,7;2018-12-07
4;6;2018-;12;-08;0,6;2018-12-08
4;6;2018-;12;-09;0,9;2018-12-09
4;6;2018-;12;-10;1,2;2018-12-10
4;6;2018-;12;-11;0,8;2018-12-11
4;6;2018-;12;-12;0,6;2018-12-12
4;6;2018-;12;-13;0,4;2018-12-13
4;6;2018-;12;-14;0,4;2018-12-14
4;6;2018-;12;-15;0,6;2018-12-15
4;6;2018-;12;-16;0,3;2018-12-16
4;6;2018-;12;-17;0,7;2018-12-17
4;6;2018-;12;-18;0,7;2018-12-18
4;6;2018-;12;-19;0,4;2018-12-19
4;6;2018-;12;-20;0,4;2018-12-20
4;6;2018-;12;-21;0,4;2018-12-21
4;6;2018-;12;-22;0,4;2018-12-22
4;6;2018-;12;-23;0,6;2018-12-23
4;6;2018-;12;-24;0,8;2018-12-24
4;6;2018-;12;-25;0,7;2018-12-25
4;6;2018-;12;-26;0,8;2018-12-26
4;6;2018-;12;-27;0,9;2018-12-27
4;6;2018-;12;-28;0,7;2018-12-28
4;6;2018-;12;-29;0,6;2018-12-29
4;6;2018-;12;-30;0,7;2018-12-30
4;6;2018-;12;-31;0,9;2018-12-31
4;6;2019-;1;-01;0,8;2019-01-01
4;6;2019-;1;-02;1,0;2019-01-02
4;6;2019-;1;-03;0,9;2019-01-03
4;6;2019-;1;-04;1,0;2019-01-04
4;6;2019-;1;-05;0,9;2019-01-05
4;6;2019-;1;-06;1,0;2019-01-06
4;6;2019-;1;-07;1,0;2019-01-07
4;6;2019-;1;-08;1,0;2019-01-08
4;6;2019-;1;-09;0,8;2019-01-09
4;6;2019-;1;-10;0,5;2019-01-10
4;6;2019-;1;-11;0,8;2019-01-11
4;6;2019-;1;-12;0,7;2019-01-12
4;6;2019-;1;-13;0,7;2019-01-13
4;6;2019-;1;-14;1,2;2019-01-14
4;6;2019-;1;-15;1,0;2019-01-15
4;6;2019-;1;-16;0,7;2019-01-16
4;6;2019-;1;-17;0,7;2019-01-17
4;6;2019-;1;-18;0,7;2019-01-18
4;6;2019-;1;-19;0,6;2019-01-19
4;6;2019-;1;-20;0,5;2019-01-20
4;6;2019-;1;-21;0,6;2019-01-21
4;6;2019-;1;-22;0,5;2019-01-22
4;6;2019-;1;-23;0,3;2019-01-23
4;6;2019-;1;-24;0,5;2019-01-24
4;6;2019-;1;-25;0,6;2019-01-25
4;6;2019-;1;-26;0,5;2019-01-26
4;6;2019-;1;-27;0,4;2019-01-27
4;6;2019-;1;-28;0,3;2019-01-28
4;6;2019-;1;-29;0,4;2019-01-29
4;6;2019-;1;-30;0,4;2019-01-30
4;6;2019-;1;-31;0,3;2019-01-31
4;6;2019-;2;-01;0,3;2019-02-01
4;6;2019-;2;-02;0,4;2019-02-02
4;6;2019-;2;-03;0,4;2019-02-03
4;6;2019-;2;-04;0,7;2019-02-04
4;6;2019-;2;-05;0,8;2019-02-05
4;6;2019-;2;-06;0,8;2019-02-06
4;6;2019-;2;-07;0,8;2019-02-07
4;6;2019-;2;-08;0,6;2019-02-08
4;6;2019-;2;-09;0,6;2019-02-09
4;6;2019-;2;-10;0,3;2019-02-10
4;6;2019-;2;-11;0,5;2019-02-11
4;6;2019-;2;-12;0,6;2019-02-12
4;6;2019-;2;-13;0,7;2019-02-13
4;6;2019-;2;-14;0,8;2019-02-14
4;6;2019-;2;-15;0,8;2019-02-15
4;6;2019-;2;-16;0,5;2019-02-16
4;6;2019-;2;-17;0,6;2019-02-17
4;6;2019-;2;-18;0,6;2019-02-18
4;6;2019-;2;-19;0,7;2019-02-19
4;6;2019-;2;-20;0,7;2019-02-20
4;6;2019-;2;-21;0,8;2019-02-21
4;6;2019-;2;-22;0,8;2019-02-22
4;6;2019-;2;-23;0,8;2019-02-23
4;6;2019-;2;-24;0,7;2019-02-24
4;6;2019-;2;-25;0,8;2019-02-25
4;6;2019-;2;-26;0,7;2019-02-26
4;6;2019-;2;-27;0,7;2019-02-27
4;6;2019-;2;-28;0,8;2019-02-28
4;6;2019-;3;-01;0,6;2019-03-01
4;6;2019-;3;-02;0,6;2019-03-02
4;6;2019-;3;-03;0,5;2019-03-03
4;6;2019-;3;-04;0,3;2019-03-04
4;6;2019-;3;-05;0,4;2019-03-05
4;6;2019-;3;-06;0,3;2019-03-06
4;6;2019-;3;-07;0,4;2019-03-07
4;6;2019-;3;-08;0,5;2019-03-08
4;6;2019-;3;-09;0,6;2019-03-09
4;6;2019-;3;-10;0,6;2019-03-10
4;6;2019-;3;-11;0,5;2019-03-11
4;6;2019-;3;-12;0,5;2019-03-12
4;6;2019-;3;-13;0,4;2019-03-13
4;6;2019-;3;-14;0,5;2019-03-14
4;6;2019-;3;-15;0,7;2019-03-15
4;6;2019-;3;-16;0,5;2019-03-16
4;6;2019-;3;-17;0,4;2019-03-17
4;6;2019-;3;-18;0,3;2019-03-18
4;6;2019-;3;-19;0,3;2019-03-19
4;6;2019-;3;-20;0,4;2019-03-20
4;6;2019-;3;-21;0,5;2019-03-21
4;6;2019-;3;-22;0,6;2019-03-22
4;6;2019-;3;-23;0,5;2019-03-23
4;6;2019-;3;-24;0,5;2019-03-24
4;6;2019-;3;-25;0,4;2019-03-25
4;6;2019-;3;-26;0,3;2019-03-26
4;6;2019-;3;-27;0,5;2019-03-27
4;6;2019-;3;-28;0,6;2019-03-28
4;6;2019-;3;-29;0,5;2019-03-29
4;6;2019-;3;-30;0,5;2019-03-30
4;6;2019-;3;-31;0,4;2019-03-31
4;6;2019-;4;-01;0,4;2019-04-01
4;6;2019-;4;-02;0,5;2019-04-02
4;6;2019-;4;-03;0,4;2019-04-03
4;6;2019-;4;-04;0,4;2019-04-04
4;6;2019-;4;-05;0,3;2019-04-05
4;6;2019-;4;-06;0,4;2019-04-06
4;6;2019-;4;-07;0,4;2019-04-07
4;6;2019-;4;-08;0,4;2019-04-08
4;6;2019-;4;-09;0,3;2019-04-09
4;6;2019-;4;-10;0,4;2019-04-10
4;6;2019-;4;-11;0,5;2019-04-11
4;6;2019-;4;-12;0,6;2019-04-12
4;6;2019-;4;-13;0,5;2019-04-13
4;6;2019-;4;-14;0,4;2019-04-14
4;6;2019-;4;-15;0,5;2019-04-15
4;6;2019-;4;-16;0,4;2019-04-16
4;6;2019-;4;-17;0,4;2019-04-17
4;6;2019-;4;-18;0,3;2019-04-18
4;6;2019-;4;-19;0,4;2019-04-19
4;6;2019-;4;-20;0,4;2019-04-20
4;6;2019-;4;-21;0,3;2019-04-21
4;6;2019-;4;-22;0,4;2019-04-22
4;6;2019-;4;-23;0,3;2019-04-23
4;6;2019-;4;-24;0,3;2019-04-24
4;6;2019-;4;-25;0,3;2019-04-25
4;6;2019-;4;-26;0,4;2019-04-26
4;6;2019-;4;-27;0,5;2019-04-27
4;6;2019-;4;-28;0,4;2019-04-28
4;6;2019-;4;-29;0,4;2019-04-29
4;6;2019-;4;-30;0,4;2019-04-30
